logger_num,date_time,temp_C,rh_%,dewpt_C
1,5/27/18 4:15,23.232,99.872,22.854
1,5/27/18 4:18,23.232,99.846,22.85
1,5/27/18 4:21,23.232,99.846,22.85
1,5/27/18 4:24,23.232,99.846,22.85
1,5/27/18 4:27,23.232,99.82,22.846
1,5/27/18 4:30,23.208,99.787,22.817
1,5/27/18 4:33,23.208,99.761,22.814
1,5/27/18 4:36,23.184,99.755,22.788
1,5/27/18 4:39,23.184,99.728,22.785
1,5/27/18 4:42,23.184,99.702,22.781
1,5/27/18 4:45,23.184,99.676,22.777
1,5/27/18 4:48,23.16,99.669,22.752
1,5/27/18 4:51,23.16,99.643,22.748
1,5/27/18 4:54,23.136,99.637,22.723
1,5/27/18 4:57,23.136,99.637,22.723
1,5/27/18 5:00,23.136,99.611,22.72
1,5/27/18 5:03,23.136,99.584,22.716
1,5/27/18 5:06,23.112,99.525,22.683
1,5/27/18 5:09,23.088,99.493,22.654
1,5/27/18 5:12,23.088,99.467,22.651
1,5/27/18 5:15,23.088,99.467,22.651
1,5/27/18 5:18,23.064,99.46,22.626
1,5/27/18 5:21,23.064,99.46,22.626
1,5/27/18 5:24,23.04,99.454,22.6
1,5/27/18 5:27,23.04,99.506,22.608
1,5/27/18 5:30,23.04,99.532,22.612
1,5/27/18 5:33,23.04,99.585,22.619
1,5/27/18 5:36,23.04,99.663,22.631
1,5/27/18 5:39,23.04,99.716,22.638
1,5/27/18 5:42,23.04,99.82,22.653
1,5/27/18 5:45,23.04,99.873,22.661
1,5/27/18 5:48,23.064,99.932,22.693
1,5/27/18 5:51,23.064,99.932,22.693
1,5/27/18 5:54,23.064,99.984,22.701
1,5/27/18 5:57,23.088,100,22.733
1,5/27/18 6:00,23.088,100,22.733
1,5/27/18 6:03,23.088,100,22.741
1,5/27/18 6:06,23.112,100,22.766
1,5/27/18 6:09,23.112,100,22.773
1,5/27/18 6:12,23.136,100,22.795
1,5/27/18 6:15,23.136,100,22.798
1,5/27/18 6:18,23.136,100,22.798
1,5/27/18 6:21,23.136,100,22.798
1,5/27/18 6:24,23.16,100,22.831
1,5/27/18 6:27,23.16,100,22.842
1,5/27/18 6:30,23.184,100,22.871
1,5/27/18 6:33,23.184,100,22.878
1,5/27/18 6:36,23.208,100,22.911
1,5/27/18 6:39,23.232,100,22.943
1,5/27/18 6:42,23.232,100,22.951
1,5/27/18 6:45,23.256,100,22.983
1,5/27/18 6:48,23.28,100,23.008
1,5/27/18 6:51,23.304,100,23.041
1,5/27/18 6:54,23.328,100,23.066
1,5/27/18 6:57,23.352,100,23.099
1,5/27/18 7:00,23.376,100,23.124
1,5/27/18 7:03,23.4,100,23.149
1,5/27/18 7:06,23.424,100,23.178
1,5/27/18 7:09,23.448,100,23.206
1,5/27/18 7:12,23.472,100,23.232
1,5/27/18 7:15,23.472,100,23.228
1,5/27/18 7:18,23.497,100,23.249
1,5/27/18 7:21,23.497,100,23.249
1,5/27/18 7:24,23.521,100,23.271
1,5/27/18 7:27,23.521,100,23.267
1,5/27/18 7:30,23.521,100,23.267
1,5/27/18 7:33,23.545,100,23.292
1,5/27/18 7:36,23.545,100,23.296
1,5/27/18 7:39,23.569,100,23.321
1,5/27/18 7:42,23.569,100,23.325
1,5/27/18 7:45,23.593,100,23.35
1,5/27/18 7:48,23.617,100,23.382
1,5/27/18 7:51,23.641,100,23.407
1,5/27/18 7:54,23.665,100,23.44
1,5/27/18 7:57,23.713,100,23.49
1,5/27/18 8:00,23.761,100,23.548
1,5/27/18 8:03,23.809,100,23.598
1,5/27/18 8:06,23.857,100,23.649
1,5/27/18 8:09,23.905,100,23.699
1,5/27/18 8:12,23.978,100,23.775
1,5/27/18 8:15,24.05,100,23.85
1,5/27/18 8:18,24.122,100,23.926
1,5/27/18 8:21,24.219,100,24.027
1,5/27/18 8:24,24.291,100,24.103
1,5/27/18 8:27,24.388,100,24.196
1,5/27/18 8:30,24.484,100,24.297
1,5/27/18 8:33,24.581,100,24.391
1,5/27/18 8:36,24.702,100,24.513
1,5/27/18 8:39,24.823,100,24.636
1,5/27/18 8:42,24.944,100,24.759
1,5/27/18 8:45,25.065,100,24.874
1,5/27/18 8:48,25.162,100,24.976
1,5/27/18 8:51,25.307,100,25.12
1,5/27/18 8:54,25.428,100,25.236
1,5/27/18 8:57,25.671,100,25.479
1,5/27/18 9:00,26.134,100,25.92
1,5/27/18 9:03,26.524,100,26.294
1,5/27/18 9:06,26.891,100,26.655
1,5/27/18 9:09,27.284,100,27.05
1,5/27/18 9:12,27.727,100,27.502
1,5/27/18 9:15,28.048,100,27.802
1,5/27/18 9:18,28.345,100,28.073
1,5/27/18 9:21,28.617,100,28.342
1,5/27/18 9:24,28.941,99.755,28.575
1,5/27/18 9:27,29.29,98.878,28.792
1,5/27/18 9:30,29.69,96.183,28.772
1,5/27/18 9:33,29.916,95.005,28.809
1,5/27/18 9:36,30.192,94.468,28.998
1,5/27/18 9:39,30.545,91.469,28.85
1,5/27/18 9:42,30.849,90.447,28.977
1,5/27/18 9:45,31.204,90.08,29.266
1,5/27/18 9:48,31.433,88.036,29.132
